x,y,u
-2.922741713,0.534182433,0.738993548
-2.947910843,0.579583511,0.530802402
-2.973079973,0.624984589,0.377917133
-2.998249102,0.670385667,0.280337741
-2.995692027,0.515475862,0.458239959
-3.020861156,0.564533154,0.323479209
-3.046030286,0.613590445,0.244024335
-3.06864234,0.504081718,0.25027239
-3.09381147,0.556795222,0.188942035
-3.141592654,0.5,0.11509084
-2.8381661,0.741019038,0.461451727
-2.866357971,0.672073503,0.578273644
-2.894549842,0.603127968,0.670787585
-2.776747647,0.708663729,0.599707394
-2.804939518,0.636975438,0.942226808
-2.83313139,0.565287148,1.260438244
-2.715329195,0.676308419,1.151943517
-2.743521066,0.601877373,1.720160426
-2.653910742,0.643953109,2.118160094
-2.658537863,0.956595217,0.24951176
-2.65699549,0.852381181,0.085919544
-2.655453116,0.748167145,0.708802322
-2.54058443,0.909262235,0.1555458
-2.539042056,0.805584874,0.824675001
-2.537499683,0.701907513,2.280279196
-2.422630996,0.861929252,0.454049173
-2.421088623,0.758788566,1.955899792
-2.304677563,0.81459627,1.14502188
-2.238127087,1.203552394,0.332688039
-2.260310579,1.073900352,-0.214190785
-2.282494071,0.944248311,0.056587162
-2.120643991,1.123487933,-0.088133742
-2.142827483,0.9992246,0.489063841
-2.165010975,0.874961268,1.883918196
-2.003160895,1.043423473,-0.031324139
-2.025344387,0.924548848,1.669949852
-1.885677799,0.963359012,0.50311685
-1.626307014,1.275069447,0.364919394
-1.712763942,1.171165969,-0.088923709
-1.799220871,1.06726249,-0.04285789
-1.573746428,1.182075895,-0.119307426
-1.660203357,1.085300753,0.659843781
-1.746660285,0.988525612,1.93890391
-1.521185843,1.089082344,-0.250718804
-1.607642771,0.999435538,1.761426713
-1.468625257,0.996088792,-0.029314739
-0.172249584,0.746915299,0.261455528
-0.231081073,0.691615068,0.368613507
-0.289912562,0.636314837,0.729625117
-0.348744051,0.581014606,1.34449036
-0.150703939,0.667468979,0.301415401
-0.209535428,0.608706845,0.519651478
-0.268366917,0.549944712,0.991741187
-0.129158294,0.588022659,0.315697167
-0.187989783,0.525798623,0.645011342
-0.107612649,0.508576339,0.304300826
-0.384935744,0.890671971,0.310049898
-0.474299524,0.835735446,0.226727706
-0.563663303,0.780798922,0.782936009
-0.653027082,0.725862398,1.978674808
-0.372871847,0.787452849,0.30710842
-0.462235626,0.731140663,0.994811168
-0.551599405,0.674828477,2.322044412
-0.360807949,0.684233727,0.651921907
-0.450171728,0.62654588,2.110649596
-4.37E-04,0.668228025,0.103888943
-0.036162149,0.615010796,0.146765898
-0.071887399,0.561793568,0.213569859
0.035579617,0.615010796,0.078809311
-1.46E-04,0.557980632,0.110997985
-0.035870883,0.500950468,0.167113666
0.071596133,0.561793568,0.054807964
0.035870883,0.500950468,0.076308359
0.107612649,0.508576339,0.031884903
-1.04563721,0.900821577,1.12381635
-1.046137399,1.010653255,0.205202765
-1.046637588,1.120484933,-0.134015162
-1.047137776,1.230316611,0.106162569
-1.186633226,0.946072526,1.070046754
-1.187133415,1.049156599,0.281359146
-1.187633603,1.152240672,0.072067195
-1.327629242,0.977828264,0.685669724
-1.32812943,1.074164732,0.026908092
-0.653960787,0.860014551,0.326265994
-0.654894491,0.994166704,-0.202835976
-0.655828196,1.128318858,0.391368896
-0.783897125,0.79032639,2.062498944
-0.784830829,0.921406411,0.403247167
-0.785764534,1.052486431,-0.132697767
-0.914767168,0.848646117,1.777546125
-0.915700872,0.976654004,0.111451384
0.168646383,0.745647806,0.022321366
0.148301805,0.666623984,0.025528673
0.127957227,0.587600161,0.028716519
0.228678939,0.690770073,0.009867959
0.208334361,0.608284348,0.011157711
0.187989783,0.525798623,0.012428
0.288711495,0.635892339,0.00286025
0.268366917,0.549944712,0.002232445
0.348744051,0.581014606,0.001298237
0.396189155,0.910080913,0.001621188
0.380374121,0.800392144,0.001582609
0.364559086,0.690703375,0.001474959
0.481801797,0.848674741,4.03E-04
0.465986763,0.737610311,3.70E-04
0.450171728,0.62654588,2.68E-04
0.56741444,0.787268569,-1.03E-04
0.551599405,0.674828477,-1.30E-04
0.653027082,0.725862398,1.04E-04
1.04563721,0.900821577,2.15E-05
0.936593929,0.987706634,-2.49E-05
0.827550648,1.074591691,2.44E-05
0.718507367,1.161476748,1.69E-04
0.914767168,0.848646117,-1.41E-05
0.805723887,0.932459041,5.40E-06
0.696680606,1.016271965,1.21E-04
0.783897125,0.79032639,1.33E-05
0.674853844,0.871067181,9.87E-05
1.186633226,0.946072526,7.48E-07
1.327629242,0.977828264,-3.91E-06
1.468625258,0.996088792,7.50E-06
1.080551303,1.0372449,2.28E-05
