x,y,u
-3.001562738,0.667860259,0.397568779
-3.048239377,0.611906839,0.357196926
-3.094916015,0.55595342,0.284165159
-3.141592654,0.5,0.178473481
-2.97489032,0.623419907,0.527105545
-3.021566959,0.563773657,0.46882105
-3.068243597,0.504127407,0.377876643
-2.948217902,0.578979556,0.728796827
-2.994894541,0.515640474,0.652599692
-2.921545485,0.534539204,1.002642627
-2.853932287,0.732872079,0.578775628
-2.876470019,0.666761121,0.721658435
-2.899007752,0.600650162,0.862947434
-2.788018097,0.702866414,0.751777184
-2.810555829,0.634076971,1.179085175
-2.833093562,0.565287528,1.604799359
-2.722103906,0.67286075,1.301803057
-2.744641639,0.601392822,2.013536231
-2.656189716,0.642855085,2.228853245
-2.558219376,0.691375755,2.228495701
-2.460249037,0.739650534,1.911636234
-2.362278697,0.787679422,1.278274844
-2.657384145,0.759172125,0.710502435
-2.559413805,0.80756985,0.712131306
-2.461443466,0.855721683,0.397258253
-2.658578574,0.875489165,0.056096519
-2.560608234,0.923763945,0.059711804
-2.659773003,0.991806206,0.265635496
-2.325568552,1.092528308,0.197397736
-2.337805267,0.990912013,-0.015273569
-2.350041982,0.889295718,0.3450188
-2.23594349,1.03320616,-0.005008553
-2.248180205,0.933946695,0.474181398
-2.26041692,0.834687229,1.526335024
-2.146318428,0.973884011,0.17934871
-2.158555143,0.876981376,1.350399918
-2.056693367,0.914561863,0.750469526
-1.734913424,0.989939907,0.401123986
-1.794804554,1.065289382,0.027548195
-1.854695683,1.140638856,-0.025501589
-1.914586813,1.215988331,0.241974635
-1.842173405,0.972593878,1.155715561
-1.902064534,1.04405336,0.382908987
-1.961955664,1.115512842,-0.06937158
-1.949433386,0.947467864,1.272164075
-2.009324515,1.015037352,0.100126717
-3.001110427,4.330049616,0.04628222
-2.97458878,4.375186676,0.031797984
-2.948067132,4.420323736,0.02068064
-2.921545485,4.465460796,0.012930187
-3.047937836,4.386699744,0.074864667
-3.021416189,4.435529635,0.051505541
-2.994894541,4.484359526,0.031513305
-3.094765245,4.443349872,0.118880317
-3.068243597,4.495872593,0.086646299
-3.141592654,4.5,0.178329169
-1.404671233,0.989693365,0.434807108
-1.431283756,1.080065259,-0.011128095
-1.457896279,1.170437153,-0.095999443
-1.484508802,1.260809046,0.180193066
-1.514751963,0.998829909,1.00166548
-1.541364486,1.084674621,0.311192525
-1.567977009,1.170519333,-0.018216574
-1.624832694,0.998912089,0.990437773
-1.651445217,1.08022962,0.055427066
-2.844939704,4.265029639,0.008251587
-2.782023041,4.295734731,0.002458651
-2.719106379,4.326439823,-8.27E-05
-2.656189716,4.357144915,6.27E-04
-2.870474964,4.331840025,0.009778572
-2.807558302,4.365223601,0.003218394
-2.744641639,4.398607178,-9.02E-05
-2.896010224,4.398650411,0.011338105
-2.833093562,4.434712472,0.004010685
-1.082983444,0.913911955,1.052113315
-1.076132044,0.996218461,0.294194515
-1.069280644,1.078524966,-0.024667051
-1.062429243,1.160831472,0.095528618
-1.190212707,0.946937963,0.9314043
-1.183361307,1.0253617,0.262261145
-1.176509907,1.103785437,0.032175224
-1.29744197,0.972198434,0.725635564
-1.29059057,1.046739401,0.145268054
-2.664370798,4.257078042,6.04E-04
-2.672551879,4.15701117,7.94E-04
-2.680732961,4.056944298,0.001197597
-2.558219376,4.308624245,1.27E-04
-2.566400458,4.208680318,9.35E-05
-2.574581539,4.108736391,2.73E-04
-2.460249037,4.260349466,-5.39E-05
-2.468430118,4.160528484,-9.82E-05
-2.362278697,4.212320578,8.39E-05
-0.77748843,0.786809922,1.474683197
-0.777368181,0.884522134,0.391615407
-0.777247931,0.982234347,-0.028317236
-0.777127682,1.07994656,0.214885269
-0.879320102,0.833868409,1.479591102
-0.879199852,0.92923505,0.387460936
-0.879079603,1.024601691,-0.041534083
-0.981151773,0.876235754,1.338734474
-0.981031524,0.969256823,0.237541933
-0.306590903,0.788661557,0.469923606
-0.365615911,0.739780764,0.567591674
-0.42464092,0.690899971,1.116005453
-0.483665928,0.642019178,2.115164944
-0.277294669,0.703820548,0.642255045
-0.336319677,0.652250585,1.080544979
-0.395344685,0.600680622,1.969580624
-0.247998435,0.618979539,0.824004318
-0.307023443,0.564720406,1.602916118
-0.2187022,0.53413853,1.015171424
-0.49691908,0.899263906,0.304136104
-0.590442197,0.861779244,0.285973433
-0.683965314,0.824294583,0.676155798
-0.492501363,0.813515663,0.348615685
-0.58602448,0.776137319,0.984474266
-0.679547596,0.738758975,2.028677883
-0.488083645,0.72776742,0.952291965
-0.581606762,0.690495394,2.242171799
-0.145801467,0.515455372,0.659267941
-0.072900733,0.50407494,0.38071064
8.99E-15,0.499997234,0.179499522
-0.174902047,0.593694269,0.637921937
-0.102001314,0.578662474,0.400133943
-0.02910058,0.570933406,0.239692132
-0.131101894,0.653250009,0.391612162
-0.05820116,0.641869577,0.271939657
-0.087301741,0.712805748,0.276242098
-2.362763311,4.105515286,6.73E-05
-2.363247925,3.998709995,6.13E-05
-2.363732539,3.891904704,6.59E-05
-2.26041692,4.165312771,1.51E-05
-2.260901534,4.060864309,8.64E-06
-2.261386148,3.956415848,1.27E-05
-2.158555143,4.123018624,-1.09E-05
-2.159039757,4.020926993,-7.25E-06
-2.056693367,4.085438137,5.97E-06
0.085910338,0.68921651,0.082233518
0.057273558,0.626143418,0.106683737
0.028636779,0.563070326,0.139105739
0.130174292,0.63752385,0.050145546
0.101537513,0.570799395,0.06436836
0.072900733,0.50407494,0.086562957
0.174438246,0.58583119,0.027042047
0.145801467,0.515455372,0.031037457
0.2187022,0.53413853,0.012923022
-2.063237761,4.003246627,4.46E-06
-2.069782155,3.921055116,3.18E-06
-2.076326549,3.838863606,2.13E-06
