x,y,u
-3.05929323,0.590871815,0.347260523
-3.086726371,0.56058121,0.296219991
-3.114159512,0.530290605,0.242550337
-3.141592654,0.5,0.186251561
-3.045077987,0.564419666,0.406798027
-3.072511128,0.532865923,0.345541341
-3.099944269,0.50131218,0.281655533
-3.030862744,0.537967517,0.480021091
-3.058295885,0.505150636,0.408548251
-3.0166475,0.511515368,0.566929715
-2.975044484,0.610269746,0.569393496
-2.988912156,0.57735162,0.583204288
-3.002779828,0.544433494,0.582383028
-2.948386004,0.58778987,0.71656088
-2.962253676,0.553885525,0.747012662
-2.976121348,0.51998118,0.762832392
-2.921727524,0.565309994,0.926705315
-2.935595196,0.530419429,0.973798087
-2.895069044,0.542830118,1.1998268
-2.868731419,0.660006158,0.77727634
-2.877510627,0.620947478,0.910348564
-2.886289836,0.581888798,1.051198717
-2.83836633,0.635804024,0.998904223
-2.847145538,0.596107632,1.218346383
-2.855924746,0.55641124,1.445566473
-2.808001241,0.61160189,1.35023467
-2.816780449,0.571267786,1.656046766
-2.777636151,0.587399756,1.831267681
-2.75730088,0.70454318,0.885515147
-2.764079304,0.665495372,1.132326109
-2.770857728,0.626447564,1.447576954
-2.725963654,0.68284362,1.143790616
-2.732742078,0.64344999,1.542552583
-2.739520501,0.60405636,2.009754433
-2.694626427,0.66114406,1.568215558
-2.701404851,0.621404607,2.11892853
-2.663289201,0.6394445,2.158789974
-2.650432621,0.755297454,0.808514779
-2.654718148,0.716679802,1.111166455
-2.659003674,0.678062151,1.561258187
-2.617136684,0.735163813,1.062691173
-2.621422211,0.696420594,1.56417377
-2.625707738,0.657677375,2.213096424
-2.583840748,0.715030172,1.497698254
-2.588126274,0.676161385,2.198011773
-2.550544811,0.694896531,2.113536023
-2.538170979,0.812119163,0.628122839
-2.54229559,0.773044952,0.920902514
-2.5464202,0.733970742,1.416040242
-2.504805992,0.791715505,0.852970096
-2.508930603,0.752683212,1.365716912
-2.513055213,0.713650919,2.080821782
-2.471441005,0.771311847,1.259687811
-2.475565616,0.732321472,1.992401769
-2.438076018,0.750908189,1.848275984
-2.423688717,0.866073134,0.467620675
-2.428484484,0.827684819,0.714055024
-2.433280251,0.789296504,1.17427346
-2.390732431,0.845816837,0.657330616
-2.395528198,0.807605535,1.117148353
-2.400323965,0.769394233,1.790750178
-2.357776145,0.825560541,1.013880772
-2.362571912,0.787526251,1.687081898
-2.324819858,0.805304244,1.537271144
-2.304410076,0.919378749,0.343419911
-2.311213337,0.881353914,0.538347447
-2.318016598,0.843329079,0.936297858
-2.272927935,0.898326909,0.500280439
-2.279731196,0.860591245,0.896554816
-2.286534456,0.82285558,1.495852067
-2.241445794,0.877275069,0.811096079
-2.248249055,0.839828575,1.408717296
-2.209963653,0.856223229,1.275866829
-2.185700847,0.973188726,0.243716153
-2.193788449,0.934200227,0.387815122
-2.201876051,0.895211728,0.731865347
-2.154778852,0.949429045,0.368569847
-2.162866454,0.910832192,0.71579796
-2.170954056,0.872235339,1.26297733
-2.123856857,0.925669364,0.646409227
-2.131944459,0.887464157,1.196766485
-2.092934862,0.901909683,1.077234294
-2.06175313,1.023010718,0.18012101
-2.072147041,0.982643707,0.284396216
-2.082540951,0.942276695,0.583433977
-2.032315129,0.99556133,0.277440418
-2.04270904,0.955671461,0.591329672
-2.05310295,0.915781592,1.099981483
-2.002877128,0.968111941,0.529682851
-2.013271038,0.928699215,1.053186154
-1.973439127,0.940662553,0.936848309
-1.851492803,0.970792996,0.846399574
-1.879142157,1.001648641,0.455203772
-1.906791512,1.032504287,0.221404414
-1.934440867,1.063359932,0.145001501
-1.892141577,0.961858898,0.958025755
-1.919790932,0.992159852,0.511754914
-1.947440287,1.022460806,0.222880518
-1.932790352,0.951815417,0.988175333
-1.960439707,0.981561679,0.486829454
-1.727495331,0.990825073,0.782806228
-1.752586348,1.023714353,0.416560418
-1.777677365,1.056603633,0.200615682
-1.802768382,1.089492914,0.13497202
-1.768827821,0.985376213,0.899972372
-1.793918838,1.017651244,0.475835296
-1.819009855,1.049926274,0.201999294
-1.810160312,0.978698854,0.921170154
-1.835251329,1.010359635,0.439141812
-1.602204577,0.999631735,0.74344932
-1.623929012,1.040649589,0.352393037
-1.645653448,1.081667443,0.1417599
-1.667377883,1.122685297,0.111549908
-1.643968161,0.997990488,0.890607029
-1.665692597,1.038361189,0.425589559
-1.687417032,1.078731889,0.140995234
-1.685731746,0.995054934,0.903725998
-1.707456181,1.034778481,0.36474734
-1.476640998,0.996677339,0.782204006
-1.490771592,1.038934423,0.361286781
-1.504902186,1.081191507,0.136599548
-1.51903278,1.123448591,0.108142308
-1.518495524,0.998975931,0.886863704
-1.532626118,1.040576118,0.419182532
-1.546756712,1.082176306,0.147731352
-1.56035005,0.99996073,0.873945475
-1.574480644,1.04090402,0.359500356
-3.059069052,4.409359965,0.082375076
-3.044928535,4.435734854,0.068947556
-3.030788018,4.462109743,0.056475848
-3.0166475,4.488484632,0.044959953
-3.086576919,4.43957331,0.108292477
-3.072436402,4.467211337,0.090772082
-3.058295885,4.494849364,0.074207499
-3.114084786,4.469786655,0.142932422
-3.099944269,4.49868782,0.121319151
-3.141592654,4.5,0.186294908
-1.351881278,0.982155922,0.824715108
-1.362077658,1.020396571,0.41784735
-1.372274038,1.05863722,0.184420693
-1.382470418,1.09687787,0.124435135
-1.393467851,0.988265314,0.88998352
-1.403664231,1.025871503,0.455340784
-1.413860611,1.063477693,0.194139147
-1.435054424,0.993105786,0.875813153
-1.445250804,1.030077516,0.413395437
-2.97613313,4.389379131,0.03303719
-2.949111768,4.411976048,0.022018592
-2.922090406,4.434572965,0.013842353
-2.895069044,4.457169882,0.008508474
-2.98963792,4.422414298,0.03676045
-2.962616558,4.445997434,0.024378123
-2.935595196,4.469580571,0.014838155
-3.00314271,4.455449465,0.040734704
-2.976121348,4.48001882,0.026988649
-1.228836353,0.956903993,0.889038067
-1.238681145,0.997596807,0.447018353
-1.248525938,1.038289621,0.193845262
-1.25837073,1.078982435,0.129518795
-1.269851328,0.966491321,0.947024576
-1.27969612,1.006599126,0.478562314
-1.289540913,1.046706931,0.198946676
-1.310866303,0.974908631,0.92558359
-1.320711095,1.014431426,0.430678781
-2.870016961,4.339408598,0.008882345
-2.839223358,4.363805813,0.005096096
-2.808429755,4.388203028,0.002588296
-2.777636151,4.412600244,0.001358945
-2.878367656,4.378662359,0.008852942
-2.847574052,4.403697286,0.004990516
-2.816780449,4.428732214,0.00240654
-2.88671835,4.417916121,0.008728318
-2.855924746,4.44358876,0.004789716
-1.108090969,0.922257472,1.007278697
-1.115575969,0.963492327,0.51614866
-1.123060969,1.004727183,0.230289578
-1.13054597,1.045962038,0.149701453
-1.14833943,0.934847163,1.036548762
-1.155824431,0.975561593,0.531708325
-1.163309431,1.016276023,0.232138844
-1.188587892,0.946396003,0.997135219
-1.196072892,0.986590008,0.478584383
-2.759210501,4.291081716,0.001780741
-2.727236734,4.314239644,9.04E-04
-2.695262968,4.337397572,3.73E-04
-2.663289201,4.3605555,1.90E-04
-2.765352384,4.331587892,0.001655801
-2.733378618,4.355091642,8.14E-04
-2.701404851,4.378595393,3.18E-04
-2.771494268,4.372094068,0.001515202
-2.739520501,4.39594364,7.08E-04
-1.009988549,0.99768831,0.20613412
-1.042689356,0.972544697,0.315705654
-1.075390162,0.947401084,0.582753846
-1.003274088,0.958402564,0.326881257
-1.035974895,0.933693127,0.643732578
-1.068675702,0.908983691,1.118060557
-0.996559628,0.919116818,0.648410051
-1.029260435,0.894841558,1.172541158
-0.989845168,0.879831072,1.1707205
-2.649899108,4.238967016,2.93E-04
-2.616781009,4.261012501,1.33E-04
-2.58366291,4.283057985,4.25E-05
-2.550544811,4.305103469,2.33E-05
-2.654362472,4.279496511,2.57E-04
-2.621244373,4.301667563,1.10E-04
-2.588126274,4.323838615,3.32E-05
-2.658825837,4.320026006,2.23E-04
-2.625707738,4.342322625,8.86E-05
-0.890381654,0.948868266,0.275002997
-0.923536158,0.925855868,0.409721462
-0.956690663,0.90284347,0.708293963
-0.884907797,0.909681325,0.436235199
-0.918062301,0.887010581,0.783085413
-0.951216806,0.864339836,1.293789663
-0.87943394,0.870494384,0.810873915
-0.912588444,0.848165293,1.369855879
-0.873960083,0.831307443,1.398919147
-0.305714613,0.56386097,1.53848972
-0.265899024,0.549320077,1.321210991
-0.226083434,0.536397201,1.095795081
-0.186267845,0.525092342,0.862241991
-0.277833642,0.591117346,1.143259659
-0.238018052,0.577385462,0.979418514
-0.198202463,0.565271594,0.807440189
-0.249952671,0.618373723,0.852134371
-0.210137081,0.605450847,0.741730811
-0.222071699,0.645630099,0.665113858
-0.774704396,0.897038617,0.378560008
-0.807789625,0.875128225,0.544900369
-0.840874854,0.853217834,0.885020081
-0.769799419,0.857502344,0.59101424
-0.802884648,0.835827278,0.97911957
-0.835969877,0.814152211,1.541004253
-0.764894442,0.817966071,1.02860349
-0.797979671,0.79652633,1.638473791
-0.759989465,0.778429799,1.691327759
-0.330080936,0.686522207,0.83217337
-0.360528194,0.661940748,1.077289251
