x,y,u
-3.102522247,0.545219447,0.264439302
-3.12205745,0.522609724,0.225592519
-3.141592654,0.5,0.18729761
-3.090692078,0.524079548,0.299915626
-3.110227281,0.500737051,0.255493014
-3.078861908,0.502939648,0.341150624
-3.0166475,0.511515368,0.568852428
-3.033900998,0.537619071,0.468447398
-3.051154496,0.563722774,0.389331493
-3.047754704,0.50654024,0.445107287
-3.065008202,0.533331211,0.368703948
-2.989617194,0.563368431,0.602951067
-3.003132347,0.537441899,0.590818597
-2.972470989,0.544230319,0.71975904
-2.985986142,0.517702447,0.709147485
-2.955324784,0.525092207,0.865605613
-2.93531227,0.582478359,0.79402105
-2.945318527,0.553785283,0.834746971
-2.915190657,0.562654238,0.973373671
-2.925196914,0.533455147,1.033203754
-2.895069044,0.542830118,1.205677169
-2.883868097,0.603780297,0.959720712
-2.88946857,0.573305207,1.079919601
-2.859873112,0.583820709,1.209832289
-2.865473586,0.552940585,1.381377413
-2.835878127,0.563861121,1.546739081
-2.826798357,0.624150834,1.137674438
-2.831338242,0.594005977,1.330354035
-2.802217254,0.605775295,1.437154919
-2.806757139,0.575317289,1.706922381
-2.777636151,0.587399756,1.843039394
-2.769563816,0.647577039,1.261040693
-2.773599984,0.617488398,1.528012267
-2.744866873,0.63017739,1.598251327
-2.748903041,0.599858807,1.967140604
-2.72016993,0.612777741,2.058049065
-2.713075946,0.672928829,1.313984415
-2.716622938,0.642853285,1.647372766
-2.688182574,0.656186664,1.676328396
-2.691729565,0.625951305,2.134596484
-2.663289201,0.6394445,2.174280211
-2.656892812,0.699512261,1.301787502
-2.660091007,0.669478381,1.684717402
-2.631849049,0.683227668,1.675809716
-2.635047244,0.653096553,2.202097457
-2.606805286,0.666943076,2.194236848
-2.600746181,0.726891365,1.237966328
-2.603775734,0.69691722,1.649972815
-2.575645496,0.710893948,1.611863178
-2.578675048,0.680875632,2.180356788
-2.550544811,0.694896531,2.134931188
-2.544521846,0.754649955,1.14067933
-2.547533329,0.724773243,1.561950995
-2.519434926,0.738813936,1.505387387
-2.522446408,0.708939785,2.090980076
-2.494348006,0.722977916,2.020656697
-2.488111697,0.782501976,1.026932281
-2.491229851,0.752739946,1.441584018
-2.463093858,0.766705082,1.376538907
-2.466212012,0.736987617,1.959033597
-2.438076018,0.750908189,1.875765408
-2.431317547,0.810135351,0.911464075
-2.434696782,0.78052177,1.308366391
-2.406460379,0.79428257,1.242627193
-2.409839615,0.764750597,1.807352135
-2.381603211,0.778429789,1.720701906
-2.374074726,0.837343196,0.802966281
-2.377838968,0.807886492,1.176038818
-2.349447292,0.82132372,1.114724625
-2.353211535,0.791984194,1.653421152
-2.324819858,0.805304244,1.569919544
-2.316293426,0.863902037,0.706463593
-2.320556642,0.83460314,1.053535965
-2.29196301,0.847604736,0.999343086
-2.296226226,0.818453259,1.508756234
-2.267632594,0.831307434,1.431965914
-2.257906732,0.889616636,0.623534172
-2.262769663,0.860462035,0.945149569
-2.233935192,0.872919932,0.899015474
-2.238798123,0.843942858,1.379343632
-2.209963653,0.856223229,1.310795551
-2.198841569,0.914284397,0.553899956
-2.204402611,0.885253813,0.852152914
-2.175294539,0.89705773,0.813954114
-2.18085558,0.868234099,1.267531747
-2.151747508,0.879831063,1.20743373
-2.139074583,0.937658373,0.496465569
-2.145411045,0.908744718,0.774152885
-2.116004722,0.919784028,0.743150175
-2.122341185,0.891102846,1.173340353
-2.092934862,0.901909683,1.121014678
-2.078610638,0.959395303,0.450275316
-2.08577275,0.930652493,0.710255442
-2.056056172,0.940826383,0.685404763
-2.063218284,0.912339658,1.095159805
-2.033501707,0.922257463,1.049635442
-2.017503763,0.979242363,0.413596774
-2.025502735,0.950749913,0.658565941
-1.995471445,0.959952458,0.638923194
-2.003470417,0.931740825,1.030985726
-1.973439127,0.940662553,0.99141349
-1.955653451,0.997185466,0.383590751
-1.964546289,0.968924009,0.616260082
-1.934204887,0.977044727,0.601039393
-1.943097725,0.949086752,0.979200349
-1.912756324,0.956903989,0.944665096
-1.892858949,1.013327937,0.357190132
-1.902807637,0.985115963,0.580338628
-1.872175876,0.992060466,0.568712637
-1.882124563,0.964169093,0.938169405
-1.851492803,0.970792996,0.907670261
-1.828914111,1.02671395,0.338578726
-1.840203457,0.998753473,0.553865717
-1.809312755,1.004434934,0.545078756
-1.820602101,0.976812051,0.906264153
-1.789711399,0.982155918,0.879425739
-1.764361866,1.037159122,0.326004742
-1.777036633,1.00965752,0.535022112
-1.745928598,1.013992097,0.528641846
-1.758603365,0.986843328,0.882432223
-1.727495331,0.990825073,0.859051531
-1.6994004,1.044983332,0.315762694
-1.713447865,1.017904202,0.520423628
-1.68217604,1.020830335,0.516101542
-1.696223505,0.994112029,0.866046053
-1.66495168,0.996677337,0.845670531
-3.100089375,4.456473095,0.123523773
-3.089475642,4.476766723,0.109134504
-3.078861908,4.497060352,0.095025868
-3.120841014,4.478236548,0.152065083
-3.110227281,4.499262949,0.134819324
-3.141592654,4.5,0.187298464
-1.634240354,1.050334137,0.306059097
-1.649596017,1.023505737,0.508242138
-1.618222465,1.024982936,0.505826074
-1.633578128,0.998521768,0.856614406
-1.602204577,0.999631735,0.838840482
-3.054396365,4.447210396,0.076066755
-3.035521933,4.467847514,0.059284189
-3.0166475,4.488484632,0.044915334
-3.066629137,4.472135374,0.085017413
-3.047754704,4.49345976,0.065973058
-1.569025863,1.052280082,0.301490318
-1.58561522,1.025955909,0.502423507
-1.554206982,1.025955909,0.501925832
-1.570796339,1.000003175,0.853244704
-1.539388101,0.999631736,0.838825697
-2.997137993,4.432361735,0.039438415
-2.976231388,4.453634764,0.028596269
-2.955324784,4.474907793,0.020006293
-3.006892746,4.460423183,0.042124826
-2.985986142,4.482297553,0.030268204
-1.503502125,1.050491664,0.304091009
-1.521445113,1.0250617,0.5047734
-1.490071561,1.023584502,0.506021658
-1.508014549,0.99852177,0.856579439
-1.476640998,0.996677339,0.845636027
-2.938958878,4.416373055,0.01897317
-2.917013961,4.436771468,0.012927284
-2.895069044,4.457169882,0.00846533
-2.947141831,4.445640424,0.019529778
-2.925196914,4.466544853,0.013135073
-1.438477529,1.045407747,0.311429916
-1.457559263,1.021042543,0.512959251
-1.426287438,1.018116411,0.516113422
-1.445369172,0.994112032,0.866183802
-1.414097347,0.990825076,0.85895768
-2.881653805,4.397598703,0.008681935
-2.858765966,4.416868791,0.005564169
-2.835878127,4.436138879,0.00341792
-2.888361425,4.427384293,0.008607669
-2.865473586,4.447059415,0.005422251
-1.374129221,1.037496114,0.321721124
-1.394113284,1.014160595,0.525375061
-1.363005249,1.009826018,0.530863906
-1.382989313,0.986843332,0.882493347
-1.351881278,0.982155922,0.879359028
-2.825140875,4.376216281,0.003788409
-2.801388513,4.394408263,0.002285021
-2.777636151,4.412600244,0.001318983
-2.830509501,4.40617758,0.003618839
-2.806757139,4.424682711,0.00213518
-1.310295015,1.027085459,0.333977729
-1.331088146,1.00462069,0.541441604
-1.300197445,0.998939229,0.549560825
-1.320990576,0.976812056,0.906324875
-1.290099875,0.970793,0.907568805
-1.246937948,1.013876126,0.351511032
-1.268518911,0.992334563,0.564116136
-1.23788715,0.98539006,0.57523387
-1.259468114,0.964169097,0.938306704
-1.228836353,0.956903993,0.944446449
-1.184193132,0.997997659,0.375561239
-1.206514743,0.977450826,0.594536205
-1.176173341,0.969330109,0.609275777
-1.198494952,0.949086757,0.979371049
-1.16815355,0.940662559,0.991304486
-2.768953701,4.352518288,0.001569269
-2.744561815,4.369870273,8.93E-04
-2.72016993,4.387222259,4.86E-04
-2.773294926,4.382559266,0.00144902
-2.748903041,4.400141193,8.02E-04
-1.122359254,0.979600289,0.408095132
-1.145256402,0.960131424,0.634549843
-1.115225112,0.95092888,0.653784848
-1.13812226,0.931740832,1.031065277
-1.108090969,0.922257472,1.049680329
-1.061480512,0.959415937,0.447184036
-1.08478574,0.940836705,0.682975137
-1.055069163,0.930662815,0.707533003
-1.078374391,0.912339667,1.095170786
-1.048657814,0.901909693,1.121133272
-1.001441473,0.937630184,0.494306648
-1.025049643,0.919769939,0.741451249
-0.99564332,0.908730628,0.772256119
-1.019251491,0.891102857,1.173332237
-0.989845168,0.879831072,1.207501235
-0.942074824,0.914389047,0.55132778
-0.965959996,0.89711006,0.811933235
-0.936851924,0.885306141,0.850010508
-0.960737096,0.868234107,1.267544953
-0.931629024,0.856223235,1.310769884
-0.88308647,0.889963977,0.618652633
-0.907357747,0.873093606,0.895281592
-0.878523276,0.86063571,0.941239446
-0.902794554,0.843942864,1.379378327
-0.873960083,0.831307443,1.431970185
-0.824962703,0.864138164,0.703075259
-0.849461393,0.847722803,0.996781286
-0.820867759,0.834721212,1.050880941
-0.845366448,0.818453272,1.508767441
-0.816772814,0.805304261,1.569905252
-0.76728339,0.837561671,0.799833953
-0.792028102,0.821432966,1.112405801
-0.763636427,0.807995735,1.173645023
-0.78838114,0.79198421,1.65344309
-0.759989465,0.778429799,1.720683574
-0.710055273,0.810322775,0.908509904
-0.735022369,0.794376287,1.240472021
-0.706785968,0.780615481,1.30614503
-0.731753064,0.764750598,1.807365105
-0.703516663,0.750908187,1.875785091
-0.65341429,0.782561402,1.025952391
-0.678465476,0.766734794,1.375826232
-0.650329477,0.752769669,1.44086397
-0.675380664,0.73698762,1.959031488
-0.647244665,0.722977936,2.020654043
-2.712877708,4.32710317,6.15E-04
-2.688083454,4.343829335,3.31E-04
-2.663289201,4.3605555,1.71E-04
-2.716523819,4.357162714,5.51E-04
-2.691729565,4.374048695,2.88E-04
-0.597033794,0.754720874,1.139635922
-0.62213923,0.738849405,1.504654682
-0.594040824,0.724808718,1.561213253
-0.61914626,0.708939819,2.090983766
-0.591047854,0.694896562,2.134921259
-0.540872735,0.727043275,1.236207226
-0.565960295,0.710969919,1.610658649
-0.53783007,0.696993166,1.64879862
-0.562917629,0.680875641,2.180364513
-0.534787404,0.666943056,2.194217894
-0.484841374,0.699832542,1.298727799
-0.509814389,0.683387799,1.673742059
-0.481572429,0.669638516,1.682787344
-0.506545444,0.653096515,2.202111478
-0.478303484,0.63944449,2.174260341
-0.428837873,0.673440987,1.310252342
-0.453570678,0.656442739,1.673819776
-0.425130291,0.643109408,1.645179938
-0.449863097,0.62595135,2.134596642
-0.42142271,0.61277783,2.058056477
-2.656835816,4.300494665,2.27E-04
-2.631820551,4.316775795,1.16E-04
-2.606805286,4.333056924,5.72E-05
-2.660062509,4.330525082,1.99E-04
-2.635047244,4.346903447,9.81E-05
-0.372747936,0.648299645,1.258512183
-0.397085323,0.630538738,1.596540862
-0.368352233,0.617849696,1.526846402
-0.39268962,0.599858893,1.967115999
-0.363956531,0.587399746,1.843153161
-0.316453589,0.624925835,1.141325078
-0.34020506,0.60616279,1.439494381
-0.311084101,0.594393402,1.333269971
-0.334835572,0.575317165,1.706871315
-0.305714613,0.56386097,1.546950932
-2.600735282,4.273124766,7.93E-05
-2.575640046,4.289114117,3.86E-05
-2.550544811,4.305103469,1.82E-05
-2.603770284,4.303090845,6.80E-05
-2.578675048,4.319124368,3.18E-05
-0.259826828,0.603744457,0.970652565
-0.28277072,0.583802714,1.216918295
-0.2531752,0.573287388,1.08671322
-0.276119093,0.552940557,1.381260027
-0.246523573,0.542830319,1.205555056
-0.216395709,0.533455487,1.033286104
-0.186267845,0.525092342,0.865254561
-0.224683645,0.56433918,0.956133494
-0.194555781,0.555470192,0.820109225
-0.202843718,0.585848042,0.767845009
-0.155606573,0.517702098,0.709422887
-0.1249453,0.511514752,0.568486315
-0.165839129,0.548285072,0.694566425
-0.135177856,0.541496276,0.570555456
-0.145410412,0.571477801,0.563581617
-2.544521869,4.245364532,2.60E-05
-2.519434937,4.261193308,1.21E-05
-2.494348006,4.277022084,5.46E-06
-2.54753334,4.275234,2.20E-05
-2.522446408,4.291060215,9.74E-06
-0.09383799,0.506540119,0.445199071
-0.062730679,0.502940717,0.341120254
-0.106248511,0.536445688,0.464471692
-0.0751412,0.532158671,0.364987834
-0.087551722,0.561376625,0.382801033
-2.488106617,4.217507296,7.98E-06
-2.463091318,4.233299554,3.55E-06
-2.438076018,4.249091811,1.55E-06
-2.491227312,4.24726469,6.67E-06
-2.466212012,4.263012383,2.82E-06
-0.031365339,0.500738025,0.255462231
7.88E-15,0.499997234,0.187430742
-0.046047897,0.529546301,0.285661072
-0.014682557,0.52807456,0.215006456
-0.029365115,0.556151886,0.240741446
-2.431393978,4.189797197,2.30E-06
-2.406498594,4.205683704,9.78E-07
-2.381603211,4.221570211,4.12E-07
-2.434734998,4.219444504,1.90E-06
-2.409839615,4.235249403,7.69E-07
0.062730679,0.502940717,0.095020463
0.045832299,0.529568661,0.117298078
0.028933919,0.556196606,0.140718698
0.031365339,0.500738025,0.134768224
0.01446696,0.52809692,0.162097717
-2.374343774,4.162415612,6.18E-07
-2.349581816,4.178555684,2.53E-07
-2.324819858,4.194695756,1.03E-07
-2.377973492,4.191992911,5.10E-07
-2.353211535,4.208015806,1.97E-07
0.1249453,0.511514752,0.044920842
0.106028485,0.536525714,0.059752527
0.087111669,0.561536677,0.076891855
0.09383799,0.506540119,0.065965967
0.074921174,0.532238697,0.085435449
-2.316615004,4.135762932,1.54E-07
-2.292123799,4.152227749,6.08E-08
-2.267632594,4.168692566,2.40E-08
-2.320717431,4.165229344,1.27E-07
-2.296226226,4.181546741,4.73E-08
0.186267845,0.525092342,0.02001054
0.165639478,0.548362284,0.028639122
0.145011111,0.571632227,0.039478585
0.155606573,0.517702098,0.030269899
0.134978206,0.541573489,0.042156433
-2.258247802,4.109970648,3.56E-08
-2.234105727,4.12687371,1.36E-08
-2.209963653,4.143776771,5.24E-09
-2.262940198,4.139331607,2.96E-08
-2.238798123,4.156057142,1.06E-08
0.246523573,0.542830319,0.008466928
0.224538625,0.564523152,0.012994291
0.202553677,0.586215984,0.019133345
0.216395709,0.533455487,0.013135128
0.194410761,0.555654163,0.019620421
-2.199410523,4.085379186,7.67E-09
-2.175579016,4.102774062,2.84E-09
-2.151747508,4.120168937,1.07E-09
-2.204687088,4.114577979,6.41E-09
-2.18085558,4.131765901,2.23E-09
0.259573842,0.603993837,0.008780937
0.253048708,0.573412078,0.008660281
0.282644228,0.583927403,0.005600693
0.276119093,0.552940557,0.005421989
0.305714613,0.56386097,0.00341831
-2.140052668,4.062133343,1.54E-09
-2.116493765,4.08011183,5.53E-10
-2.092934862,4.098090317,2.02E-10
-2.145900088,4.09115114,1.29E-09
-2.122341185,4.108897154,4.38E-10
0.316330441,0.625065008,0.00381745
0.311022527,0.594462989,0.003633947
0.340143486,0.606232377,0.002295293
0.334835572,0.575317165,0.002135074
0.363956531,0.587399746,0.001319097
-2.080027742,4.040403031,2.86E-10
-2.056764725,4.059072784,1.00E-10
-2.033501707,4.077742537,3.58E-11
-2.086481302,4.069246674,2.44E-10
-2.063218284,4.087660342,8.01E-11
0.372753463,0.648459121,0.001573883
0.368354997,0.617929433,0.001451515
0.397088086,0.630618475,8.95E-04
0.39268962,0.599858893,8.03E-04
0.42142271,0.61277783,4.86E-04
-2.01918666,4.020294631,4.94E-11
-1.996312893,4.039816039,1.69E-11
-1.973439127,4.059337447,5.92E-12
-2.026344184,4.049018584,4.26E-11
-2.003470417,4.068259175,1.37E-11
0.428877107,0.673534216,6.15E-04
0.425149908,0.643156023,5.52E-04
0.453590296,0.656489353,3.31E-04
0.449863097,0.62595135,2.88E-04
0.478303484,0.63944449,1.71E-04
-1.957519487,4.002102713,7.92E-12
-1.935137906,4.022599362,2.65E-12
-1.912756324,4.043096011,9.11E-13
-1.965479307,4.03072008,6.94E-12
-1.943097725,4.050913248,2.19E-12
0.4848765,0.699878006,2.27E-04
0.481589992,0.669661248,1.99E-04
0.509831952,0.683410531,1.16E-04
0.506545444,0.653096515,9.81E-05
0.534787404,0.666943056,5.72E-05
-1.894997382,3.986173221,1.17E-12
-1.873245093,4.007690113,3.87E-13
