x,y,u
0.108438307,1.017414806,0.481279526
0.095507396,1.041842863,0.496683138
0.082576485,1.066270919,0.497298742
0.069645575,1.090698976,0.483126338
0.072292205,1.007779032,0.543934034
0.059361294,1.034122508,0.555334217
0.046430383,1.060465984,0.551946393
0.036146102,1.001974096,0.611241309
0.023215192,1.030232992,0.618638064
0,1,0.683201353
0.143348102,1.120122478,0.374550122
0.131711503,1.085886587,0.421041079
0.120074905,1.051650697,0.456617547
0.174575988,1.106596717,0.358451587
0.162939389,1.070091392,0.392934423
0.151302791,1.033586067,0.41650277
0.205803874,1.093070955,0.335136926
0.194167275,1.054296197,0.357611641
0.23703176,1.079545194,0.30460614
0.219073921,1.217997737,0.242379032
0.225059867,1.171846889,0.272756193
0.231045814,1.125696041,0.293498562
0.275948526,1.211024323,0.219581851
0.281934472,1.162784593,0.236580089
0.287920418,1.114544864,0.243943535
0.33282313,1.204050909,0.190590751
0.338809076,1.153722297,0.194210065
0.389697734,1.197077495,0.15540573
0.335472596,1.401571001,0.12379665
0.353547642,1.333406499,0.140965032
0.371622688,1.265241997,0.151501392
0.416173532,1.393162999,0.108327489
0.434248578,1.323797704,0.113917794
0.452323625,1.254432408,0.112876077
0.496874469,1.384754998,0.087754442
0.514949515,1.314188909,0.08176667
0.577575406,1.376346996,0.06207751
0.501622432,1.692994524,0.057874015
0.52694009,1.587445348,0.063994611
0.552257748,1.481896172,0.065395776
0.610327772,1.668916797,0.046653018
0.63564543,1.564441084,0.045812009
0.660963088,1.459965371,0.04025157
0.719033112,1.64483907,0.032907803
0.74435077,1.54143682,0.02510519
0.827738452,1.620761342,0.016638369
0.818549805,1.934938918,0.022861832
0.821612688,1.83021306,0.022441897
0.82467557,1.725487201,0.020367409
0.915283684,1.904942706,0.015203231
0.918346567,1.804514666,0.013375308
0.921409449,1.704086626,0.009892832
1.012017563,1.874946494,0.008594689
1.015080446,1.778816272,0.005358778
1.108751442,1.844950281,0.003036205
3.108028466,1.088830285,0.520725784
3.08315108,1.064999216,0.526034141
3.058273694,1.041168147,0.513547141
3.033396307,1.017337078,0.483264783
3.119216529,1.05921834,0.584613882
3.094339142,1.033482819,0.573293016
3.069461756,1.007747298,0.544176792
3.130404591,1.029606394,0.637695776
3.105527205,1.001966421,0.609745686
3.141592654,0.999994448,0.679971465
3.024952094,1.154268711,0.354287905
2.984953234,1.129277669,0.354174267
2.944954374,1.104286626,0.337512841
2.904955514,1.079295584,0.304303628
3.027766832,1.108624833,0.41516178
2.987767972,1.081368239,0.394353769
2.947769112,1.054111644,0.356997971
3.03058157,1.062980955,0.458154072
2.99058271,1.033458809,0.416651689
3.184210264,1.087295304,0.607028723
3.170004394,1.058195018,0.659461573
3.155798524,1.029094733,0.683775821
3.206069843,1.063975895,0.697464051
3.191863973,1.032971158,0.743385184
3.177658102,1.001966421,0.761187715
3.227929421,1.040656486,0.798263713
3.213723551,1.007747298,0.837673129
3.249789,1.017337078,0.909427709
1.191331681,1.894386438,0.001528501
1.273911919,1.934665293,6.17E-04
1.356492157,1.965786846,3.02E-04
1.100827771,1.93000634,0.005241857
1.18340801,1.974863846,0.003275601
1.265988248,2.01056405,0.001905806
1.092904101,2.015062398,0.007060995
1.175484339,2.055341253,0.004636188
1.08498043,2.100118457,0.008493619
1.458694686,2.140861944,8.36E-04
1.424627176,2.082503578,6.99E-04
1.390559667,2.024145212,5.21E-04
1.496209209,2.093908025,4.14E-04
1.462141699,2.039347598,2.74E-04
1.42807419,1.984787172,9.28E-05
1.533723731,2.046954105,1.45E-04
1.499656222,1.996191618,1.42E-06
1.571238254,2.000000186,2.82E-05
2.925200351,1.267523593,0.207440647
2.867620393,1.243875641,0.202496521
2.810040435,1.220227689,0.185065566
2.752460477,1.196579737,0.155147782
2.918452072,1.204780924,0.251462686
2.860872114,1.179044503,0.228980107
2.803292156,1.153308082,0.1940107
2.911703793,1.142038254,0.283750346
2.854123835,1.114213365,0.243729315
3.266385387,1.148036644,0.479156747
3.260853258,1.104470122,0.640535037
3.255321129,1.0609036,0.783958691
3.303666856,1.125122957,0.593544582
3.298134727,1.079290883,0.789540715
3.292602598,1.033458809,0.96758221
3.340948324,1.102209271,0.753651974
3.335416196,1.054111645,0.984265948
3.378229793,1.079295585,0.959478922
1.786093935,1.965471067,3.12E-04
1.766183918,2.034320758,7.18E-04
1.7462739,2.103170449,0.001059696
1.726363882,2.17202014,0.001335422
1.714475375,1.984583024,8.39E-05
1.694565357,2.04963159,3.93E-04
1.674655339,2.114680155,6.36E-04
1.642856814,1.996092731,-1.06E-05
1.622946797,2.057340171,2.00E-04
2.564823967,1.375542689,0.060607804
2.627369471,1.31347889,0.081466369
2.689914974,1.253824573,0.112979694
2.640758212,1.402106277,0.083899843
2.703303715,1.341247219,0.10867946
2.765849219,1.282797642,0.144113839
2.716692457,1.428669865,0.0994073
2.77923796,1.369015548,0.128107969
2.792626702,1.455233453,0.107130174
3.373556479,1.229233253,0.295281572
3.37511425,1.17925403,0.435493854
3.376672022,1.129274808,0.656892971
3.425945929,1.218348748,0.336380216
3.427503701,1.166281057,0.545133577
3.429061472,1.114213365,0.835073773
3.47833538,1.207464243,0.408465452
3.479893152,1.153308083,0.685759892
3.530724831,1.196579737,0.511537279
0.054522303,8.925270466,0.655645425
0.072494304,8.944375375,0.73260134
0.090466306,8.963480285,0.817625662
0.108438307,8.982585194,0.910718391
0.036348202,8.95018031,0.687787183
0.054320203,8.971200639,0.758754761
0.072292205,8.992220968,0.837790746
0.018174101,8.975090155,0.696375773
0.036146102,8.998025904,0.761355014
0,9,0.681411195
2.034016703,1.844186746,0.002970478
2.036406188,1.927060837,0.004964859
2.038795674,2.009934928,0.006555157
2.04118516,2.092809019,0.007741372
1.95137578,1.893778673,0.001517789
1.953765266,1.972070854,0.003085615
1.956154752,2.050363035,0.004249358
1.868734858,1.93420678,6.32E-04
1.871124343,2.007917051,0.001772798
2.614861565,1.666741821,0.056740468
2.514932029,1.651040203,0.044974808
2.415002492,1.635338586,0.031691128
2.315072955,1.619636969,0.016889427
2.598182366,1.569675443,0.062331663
2.498252829,1.555032151,0.044506365
2.398323293,1.540388858,0.025163046
2.581503167,1.472609066,0.063620776
2.48157363,1.459024098,0.039735838
2.389817904,1.86091993,0.02843244
2.271217503,1.855342202,0.017956041
2.152617103,1.849764474,0.00946872
2.364902921,1.780492276,0.026234492
2.246302521,1.779203855,0.014773591
2.12770212,1.777915434,0.00530177
2.339987938,1.700064623,0.022386821
2.221387538,1.703065508,0.009941419
3.593270334,1.253824573,0.377870739
3.655815837,1.313478891,0.274285538
3.71836134,1.37554269,0.200781678
3.502544848,1.27123751,0.255641819
3.565090351,1.329687087,0.178957406
3.627635854,1.390546145,0.132354333
3.474364865,1.345895283,0.11661385
3.536910368,1.4055496,0.096911564
3.446184882,1.420553055,0.094453369
0.114700127,8.849030767,0.465598967
0.155477338,8.87283878,0.579374985
0.196254549,8.896646793,0.74387746
0.23703176,8.920454806,0.959106389
0.112612854,8.89354891,0.626726023
0.153390065,8.919626357,0.780255322
0.194167275,8.945703803,0.984511078
0.110525581,8.938067052,0.775099164
0.151302791,8.966413933,0.968381745
3.968112353,1.61963697,0.114366618
3.855669383,1.656712714,0.044897623
3.743226414,1.693788458,0.016142617
3.630783444,1.730864202,0.028101599
3.884862015,1.540388858,0.139654396
3.772419046,1.576406278,0.060949818
3.659976076,1.612423698,0.02295923
3.801611678,1.459024098,0.168459416
3.689168708,1.493983194,0.080519256
0.24589919,8.764706942,0.284677315
0.293832038,8.777445463,0.328500069
0.341764886,8.790183984,0.405565961
0.389697734,8.802922505,0.515874989
0.24294338,8.816622897,0.427770544
0.290876228,8.8314503,0.540418184
0.338809076,8.846277703,0.686308961
0.23998757,8.868538851,0.652580236
0.287920418,8.885455136,0.834052761
4.249168604,1.844186746,0.089143685
4.141736786,1.907133148,0.010962933
4.034304967,1.970079549,-0.008824829
3.926873149,2.03302595,0.029780399
4.155483187,1.777915434,0.102950829
4.048051369,1.836572529,0.023295091
3.94061955,1.895229623,0.002032344
4.06179777,1.703065509,0.111358473
3.954365952,1.757433297,0.03022775
6.171183002,1.123065917,0.557707384
6.129506517,1.108559009,0.656629517
6.087830032,1.094052102,0.791841376
6.046153548,1.079545194,0.96334296
6.172371001,1.08784888,0.693942851
6.130694516,1.071072538,0.824241639
6.089018032,1.054296197,0.990830151
6.173559001,1.052631843,0.811464311
6.131882516,1.033586067,0.973139753
6.174747,1.017414806,0.910271765
6.228075154,1.063275955,0.690702059
6.210299103,1.047988905,0.758472297
6.192523051,1.032701855,0.831662199
6.246445205,1.04218397,0.706880322
6.228669154,1.024981501,0.769414898
6.210893102,1.007779032,0.837369138
6.264815256,1.021091985,0.704380086
6.247039205,1.001974096,0.761679001
6.283185307,1,0.683201353
0.339166054,8.608000862,0.109837575
0.418635838,8.613218242,0.117068876
0.498105622,8.618435623,0.148601778
0.577575406,8.623653004,0.204436281
0.356009947,8.672974743,0.145412526
0.435479731,8.679392917,0.197034436
0.514949515,8.685811092,0.272957948
0.37285384,8.737948624,0.28075833
0.452323624,8.745567592,0.37677085
4.331809527,1.893778673,0.090353399
4.414450449,1.93420678,0.08358765
4.497091372,1.965471067,0.068846439
4.243101106,1.940922911,0.013862081
4.325742029,1.985932927,0.013131574
4.408382951,2.021779124,0.004425604
4.237033608,2.037659075,-0.005590114
4.319674531,2.078087182,-0.008260843
4.23096611,2.134395239,0.030787099
4.601395583,2.144071549,0.018993913
4.566627513,2.084538055,-0.004692968
4.531859442,2.025004561,0.01192454
4.638246073,2.096047762,-0.015494147
4.603478003,2.040315393,0.016355027
4.568709932,1.984583024,0.08850859
4.675096563,2.048023974,0.004826879
4.640328493,1.996092731,0.092212107
4.711947054,2.000000186,0.07995699
6.073872919,1.211685035,0.332354334
6.013744471,1.206815855,0.36187261
5.953616022,1.201946675,0.421872203
5.893487573,1.197077495,0.512353112
6.064633129,1.167638421,0.468073722
6.00450468,1.160680359,0.562512554
5.944376231,1.153722297,0.687432704
6.055393338,1.123591808,0.678403264
5.995264889,1.114544864,0.837762653
0.491579242,8.326019597,0.033468474
0.603632312,8.343759284,0.023773622
0.715685382,8.361498971,0.0519326
0.827738452,8.379238658,0.117945409
0.52024463,8.425230733,0.033881802
0.6322977,8.441896957,0.067737233
0.74435077,8.458563181,0.139446494
0.548910018,8.524441868,0.090871071
0.660963088,8.540034629,0.168276785
4.92669315,1.965786846,0.073296271
4.907365185,2.032294081,0.004221446
4.888037219,2.098801316,-0.008048582
4.868709254,2.165308552,0.036486186
4.855111118,1.984787172,0.085535077
4.835783152,2.047496467,0.007419243
4.816455187,2.110205763,-0.013891794
4.783529086,1.996191618,0.087755317
4.76420112,2.055102975,5.98E-04
5.941423973,1.395141875,0.107215331
5.862819282,1.388876916,0.114700922
5.784214592,1.382611956,0.147015772
5.705609901,1.376346996,0.204159879
5.925445173,1.329120415,0.145604214
5.846840483,1.321654662,0.1982319
5.768235792,1.314188909,0.275688844
5.909466373,1.263098955,0.280650141
5.830861683,1.254432408,0.378419922
0.760571997,8.14405432,0.016512899
0.876631812,8.147719453,0.006317569
0.992691627,8.151384586,0.029162117
1.108751442,8.155049719,0.085046545
0.782960815,8.222449099,0.01608869
0.899020631,8.221816414,0.04266631
1.015080446,8.221183728,0.102283809
0.805349634,8.300843879,0.049899526
0.921409449,8.295913374,0.113250097
5.172486114,2.078576639,0.021457235
5.090555126,2.040980041,-0.009292001
5.008624138,2.003383444,0.007987677
5.173135364,2.000701186,-4.53E-04
5.091204376,1.96768324,0.020630166
5.009273388,1.934665293,0.089742316
5.173784614,1.922825734,0.020711008
5.091853627,1.894386438,0.093626714
5.174433865,1.844950281,0.084949464
5.519763381,1.857696942,0.016709092
5.404653542,1.853448055,0.006261498
5.289543704,1.849199168,0.029008289
5.498324539,1.778718409,0.016328185
5.3832147,1.778767341,0.042772333
5.268104862,1.778816272,0.102410865
5.476885697,1.699739876,0.050077171
5.361775858,1.704086626,0.113413061
5.455446855,1.620761342,0.11795605
5.790061796,1.667966609,0.033296564
5.678523482,1.65223152,0.024756104
5.566985169,1.636496431,0.052975932
