x,y,u
-3.001562738,0.667860259,0.223445055
-3.048239377,0.611906839,0.217363784
-3.094916015,0.55595342,0.202440924
-3.141592654,0.5,0.178676475
-2.97489032,0.623419907,0.254271761
-3.021566959,0.563773657,0.244150814
-3.068243597,0.504127407,0.225188277
-2.948217902,0.578979556,0.290076678
-2.994894541,0.515640474,0.275916055
-2.921545485,0.534539204,0.330859808
-2.853932287,0.732872079,0.25549313
-2.876470019,0.666761121,0.290086735
-2.899007752,0.600650162,0.315208961
-2.788018097,0.702866414,0.311813629
-2.810555829,0.634076971,0.361550341
-2.833093562,0.565287528,0.401815674
-2.722103906,0.67286075,0.395672084
-2.744641639,0.601392822,0.460551903
-2.656189716,0.642855085,0.507068494
-2.558219376,0.691375755,0.531623939
-2.460249037,0.739650534,0.532886869
-2.362278697,0.787679422,0.510857285
-2.657384145,0.759172125,0.32589559
-2.559413805,0.80756985,0.322775393
-2.461443466,0.855721683,0.296362681
-2.658578574,0.875489165,0.202502447
-2.560608234,0.923763945,0.171706607
-2.659773003,0.991806206,0.136889063
-2.325568552,1.092528308,0.09358034
-2.337805267,0.990912013,0.150353167
-2.350041982,0.889295718,0.289445482
-2.23594349,1.03320616,0.12272371
-2.248180205,0.933946695,0.263406907
-2.26041692,0.834687229,0.486409592
-2.146318428,0.973884011,0.225669016
-2.158555143,0.876981376,0.450262583
-2.056693367,0.914561863,0.402416257
-1.734913424,0.989939907,0.324739639
-1.794804554,1.065289382,0.161048812
-1.854695683,1.140638856,0.069708283
-1.914586813,1.215988331,0.050718052
-1.842173405,0.972593878,0.358089873
-1.902064534,1.04405336,0.183574424
-1.961955664,1.115512842,0.081409272
-1.949433386,0.947467864,0.383982079
-2.009324515,1.015037352,0.198642007
-3.001110427,4.330049616,0.114698648
-2.97458878,4.375186676,0.106481369
-2.948067132,4.420323736,0.096279678
-2.921545485,4.465460796,0.084093576
-3.047937836,4.386699744,0.132752811
-3.021416189,4.435529635,0.122083013
-2.994894541,4.484359526,0.109428803
-3.094765245,4.443349872,0.154052559
-3.068243597,4.495872593,0.140930243
-3.141592654,4.5,0.178597894
-1.404671233,0.989693365,0.327623951
-1.431283756,1.080065259,0.149628057
-1.457896279,1.170437153,0.053929709
-1.484508802,1.260809046,0.040528906
-1.514751963,0.998829909,0.334434249
-1.541364486,1.084674621,0.154827617
-1.567977009,1.170519333,0.057518531
-1.624832694,0.998912089,0.333472812
-1.651445217,1.08022962,0.152255441
-2.844939704,4.265029639,0.072013005
-2.782023041,4.295734731,0.057142979
-2.719106379,4.326439823,0.043293359
-2.656189716,4.357144915,0.030464145
-2.870474964,4.331840025,0.076805294
-2.807558302,4.365223601,0.059418358
-2.744641639,4.398607178,0.043051829
-2.896010224,4.398650411,0.080832151
-2.833093562,4.434712472,0.060928306
-1.082983444,0.913911955,0.411605957
-1.076132044,0.996218461,0.215577152
-1.069280644,1.078524966,0.100564893
-1.062429243,1.160831472,0.066569178
-1.190212707,0.946937963,0.386537959
